,retry_deployment,restore_previous_version,adjust_thresholds
deployment_failure,0.0,-0.1,0.9067961198
latency_issue,-0.1,-0.1,0.542
anomaly_score,0.0,0.0,0.0
anomaly_health,-0.1,0.0,1.225159022
